SC	Abbeville	45001	0	23323	0	0	0	22931	0	0	0	22456	0	0	0	21417	0	0	0	21112	0	0	0	22627	0	0	0	23862	0	0	0	26167	0	0	0	25417	0	0	0	21112	0	0
LA	Acadia	22001	0	39326	0	0	0	46260	0	0	0	47050	0	0	0	49931	0	0	0	52109	0	0	0	56427	0	0	0	55882	0	0	0	58861	0	0	0	61773	0	0	0	52109	0	0
VA	Accomack	51001	0	35854	0	0	0	33030	0	0	0	33832	0	0	0	30635	0	0	0	29004	0	0	0	31268	0	0	0	31703	0	0	0	38305	0	0	0	33164	0	0	0	29004	0	0
ID	Ada	16001	0	37925	0	0	0	50401	0	0	0	70649	0	0	0	93460	0	0	0	112230	0	0	0	173036	0	0	0	205775	0	0	0	300904	0	0	0	392365	0	0	0	112230	0	0
IA	Adair	19001	0	13891	0	0	0	13196	0	0	0	12292	0	0	0	10893	0	0	0	9487	0	0	0	9509	0	0	0	8409	0	0	0	8243	0	0	0	7682	0	0	0	9487	0	0
KY	Adair	21001	0	16401	0	0	0	18566	0	0	0	17603	0	0	0	14699	0	0	0	13037	0	0	0	15233	0	0	0	15360	0	0	0	17244	0	0	0	18656	0	0	0	13037	0	0
MO	Adair	29001	0	19436	0	0	0	20246	0	0	0	19689	0	0	0	20105	0	0	0	22472	0	0	0	24870	0	0	0	24577	0	0	0	24977	0	0	0	25607	0	0	0	22472	0	0
OK	Adair	40001	0	14756	0	0	0	15755	0	0	0	14918	0	0	0	13112	0	0	0	15141	0	0	0	18575	0	0	0	18421	0	0	0	21038	0	0	0	22683	0	0	0	15141	0	0
CO	Adams	8001	0	20245	0	0	0	22481	0	0	0	40234	0	0	0	120296	0	0	0	185789	0	0	0	245944	0	0	0	265038	0	0	0	363857	0	0	0	441603	0	0	0	185789	0	0
IA	Adams	19003	0	10437	0	0	0	10156	0	0	0	8753	0	0	0	7468	0	0	0	6322	0	0	0	5731	0	0	0	4866	0	0	0	4482	0	0	0	4029	0	0	0	6322	0	0
ID	Adams	16003	0	2867	0	0	0	3407	0	0	0	3347	0	0	0	2978	0	0	0	2877	0	0	0	3347	0	0	0	3254	0	0	0	3476	0	0	0	3976	0	0	0	2877	0	0
IL	Adams	17001	0	62784	0	0	0	65229	0	0	0	64690	0	0	0	68467	0	0	0	70861	0	0	0	71622	0	0	0	66090	0	0	0	68277	0	0	0	67103	0	0	0	70861	0	0
IN	Adams	18001	0	19957	0	0	0	21254	0	0	0	22393	0	0	0	24643	0	0	0	26871	0	0	0	29619	0	0	0	31095	0	0	0	33625	0	0	0	34387	0	0	0	26871	0	0
MS	Adams	28001	0	23564	0	0	0	27238	0	0	0	32256	0	0	0	37730	0	0	0	37293	0	0	0	38035	0	0	0	35356	0	0	0	34340	0	0	0	32297	0	0	0	37293	0	0
ND	Adams	38001	0	6343	0	0	0	4664	0	0	0	4910	0	0	0	4449	0	0	0	3832	0	0	0	3584	0	0	0	3174	0	0	0	2593	0	0	0	2343	0	0	0	3832	0	0
NE	Adams	31001	0	26275	0	0	0	24576	0	0	0	28855	0	0	0	28944	0	0	0	30553	0	0	0	30656	0	0	0	29625	0	0	0	31151	0	0	0	31364	0	0	0	30553	0	0
